5.642481769999999960e+04 -1.237999999999999972e+02 8.000000000000000444e-01
5.644481369999999879e+04 -1.230999999999999943e+02 6.999999999999999556e-01
5.645684999999999854e+04 -1.140000000000000000e+02 2.000000000000000000e+00
5.648181670000000304e+04 -8.729999999999999716e+01 5.999999999999999778e-01
5.653072839999999997e+04 -1.100999999999999943e+02 5.999999999999999778e-01
5.654460210000000370e+04 -1.237000000000000028e+02 6.999999999999999556e-01
5.657056730000000243e+04 -1.224000000000000057e+02 6.999999999999999556e-01
5.657460990000000311e+04 -1.160000000000000000e+02 8.000000000000000444e-01
5.680095139999999810e+04 -1.230000000000000000e+02 9.000000000000000222e-01
5.681391619999999966e+04 -1.210000000000000000e+02 1.000000000000000000e+00
5.682382099999999627e+04 -1.100999999999999943e+02 5.999999999999999778e-01
5.686569509999999718e+04 -7.420000000000000284e+01 9.000000000000000222e-01
5.694466330000000016e+04 -1.112000000000000028e+02 2.999999999999999889e-01
5.695854239999999845e+04 -9.750000000000000000e+01 8.000000000000000444e-01
5.711999579999999696e+04 -9.200000000000000000e+01 1.000000000000000000e+00
